iter	RMSE
0	320.4227519
1	300.0183156
2	283.519408
3	265.9007469
4	250.8754864
5	237.0229381
6	224.3988836
7	213.6243288
8	203.3739538
9	193.7007958
10	185.7838954
11	178.1894749
12	170.0792537
13	164.1608508
14	158.5739753
15	152.6360805
16	147.8323704
17	142.8876712
18	139.5366532
19	135.3637764
20	130.9251266
21	126.3927338
22	122.3767608
23	118.5482672
24	114.9091512
25	112.0078174
26	108.5620793
27	105.9968595
28	103.6784046
29	101.4388474
30	100.0723356
31	97.87078624
32	95.6166891
33	93.64826436
34	92.29340683
35	90.0506546
36	88.89382512
37	86.36411454
38	84.26196775
39	82.03723304
40	80.2929926
41	78.72639749
42	77.63544009
43	76.60012196
44	74.85316388
45	73.99285189
46	73.17793159
47	71.68258374
48	70.92988232
49	70.19372748
50	68.27534449
51	67.56781633
52	66.60657592
53	65.5252563
54	64.92652186
55	63.32283148
56	62.7269509
57	61.32883399
58	60.52146065
59	58.90813069
60	58.02050321
61	56.81980709
62	56.12933915
63	55.68404227
64	55.25158748
65	54.85047159
66	54.39825841
67	53.62810757
68	52.33061184
69	51.96929709
70	50.87967287
71	50.43792396
72	50.02415237
73	49.64225465
74	49.35724981
75	49.01838756
76	48.70934934
77	48.41011975
78	47.45350468
79	47.21211023
80	46.9922354
81	46.09383836
82	45.82579586
83	45.618142
84	44.73352441
85	44.49574753
86	44.0509273
87	43.60932182
88	43.4618826
89	42.80612671
90	42.60925609
91	42.40911951
92	42.07901237
93	41.89825302
94	41.64076119
95	41.48484041
96	40.74613028
97	40.6115135
98	40.03935983
99	39.58889066
100	39.45725429
101	38.86632956
102	38.48798796
103	38.38304134
104	37.88989689
105	37.47535918
106	37.38395134
107	37.29225274
108	36.77327197
109	36.31745157
110	35.87335437
111	35.75770261
112	35.68728964
113	35.30625377
114	35.23691668
115	34.86476518
116	34.7707039
117	34.34205065
118	34.28544708
119	33.95594199
120	33.90089627
121	33.53404123
122	33.31391214
123	33.07173384
124	32.91136818
125	32.58085773
126	32.34377123
127	32.11801373
128	32.07427752
129	32.03362623
130	31.98009787
131	31.94378778
132	31.67992296
133	31.47440809
134	31.26232095
135	31.05676438
136	30.83489189
137	30.57244192
138	30.49947971
139	30.46810963
140	30.42736047
141	30.2301653
142	30.10814384
143	30.08332778
144	30.05953759
145	30.03722405
146	30.00988955
147	29.81247627
148	29.63968009
149	29.5853358
150	29.51914696
151	29.45336555
152	29.27874436
153	29.26304277
154	29.1411848
155	28.96342834
156	28.72490768
157	28.540717
158	28.37543441
159	28.11851669
160	27.86396622
161	27.66752098
162	27.63924231
163	27.48813345
164	27.26574154
165	27.11281897
166	26.94117421
167	26.91741787
168	26.77378363
169	26.70294218
170	26.69087022
171	26.52148049
172	26.37996389
173	26.20890237
174	26.06785922
175	25.95830657
176	25.9341925
177	25.72620049
178	25.51871774
179	25.45263839
180	25.34323279
181	25.22340979
182	25.13221415
183	25.0399953
184	24.95331204
185	24.86705866
186	24.79564615
187	24.75120874
188	24.7172449
189	24.70632389
190	24.57049512
191	24.52473197
192	24.51575573
193	24.45062561
194	24.31578922
195	24.19654402
196	24.16692305
197	24.02016427
198	23.92126887
199	23.90787871
