iter	Passed	Remaining
0	1	346
1	3	302
2	4	284
3	5	268
4	6	261
5	7	255
6	9	252
7	10	254
8	12	255
9	13	259
10	15	258
11	16	255
12	17	256
13	19	257
14	20	252
15	21	251
16	23	251
17	24	251
18	26	251
19	27	251
20	29	251
21	30	250
22	32	249
23	33	247
24	35	245
25	36	243
26	37	242
27	38	235
28	39	232
29	40	228
30	41	227
31	42	224
32	44	225
33	45	223
34	47	222
35	48	222
36	50	221
37	51	218
38	52	217
39	54	216
40	55	213
41	56	212
42	57	209
43	58	209
44	60	207
45	61	206
46	63	205
47	64	203
48	65	202
49	67	201
50	68	200
51	69	199
52	70	196
53	72	195
54	73	193
55	74	192
56	75	190
57	77	188
58	78	187
59	79	185
60	80	184
61	82	182
62	83	181
63	84	179
64	85	177
65	86	175
66	87	173
67	88	170
68	89	169
69	90	168
70	91	167
71	93	165
72	94	164
73	95	163
74	96	161
75	98	160
76	99	159
77	101	158
78	102	156
79	103	155
80	105	154
81	106	153
82	107	151
83	108	150
84	110	148
85	111	147
86	112	146
87	113	144
88	114	143
89	116	142
90	117	140
91	119	139
92	120	138
93	122	137
94	123	136
95	124	134
96	125	133
97	126	131
98	127	130
99	129	129
100	130	128
101	132	126
102	133	125
103	134	124
104	136	123
105	137	121
106	138	120
107	139	118
108	140	117
109	142	116
110	143	115
111	144	113
112	146	112
113	147	111
114	148	109
115	150	108
116	151	107
117	152	105
118	153	104
119	155	103
120	156	102
121	157	100
122	159	99
123	160	98
124	161	97
125	162	95
126	164	94
127	165	93
128	166	91
129	168	90
130	169	89
131	171	88
132	172	86
133	173	85
134	174	84
135	175	82
136	176	81
137	178	80
138	179	78
139	180	77
140	182	76
141	182	74
142	184	73
143	185	72
144	186	70
145	188	69
146	189	68
147	190	67
148	192	65
149	193	64
150	194	62
151	195	61
152	196	60
153	197	59
154	199	57
155	200	56
156	201	55
157	203	53
158	204	52
159	205	51
160	206	50
161	208	48
162	209	47
163	210	46
164	211	44
165	213	43
166	214	42
167	215	41
168	216	39
169	218	38
170	219	37
171	220	35
172	222	34
173	223	33
174	224	32
175	226	30
176	227	29
177	228	28
178	230	26
179	231	25
180	232	24
181	233	23
182	234	21
183	236	20
184	237	19
185	238	17
186	240	16
187	241	15
188	242	14
189	244	12
190	245	11
191	246	10
192	247	8
193	249	7
194	250	6
195	251	5
196	253	3
197	254	2
198	255	1
199	257	0
